id_compteur,nom_compteur,id,name,channel_id,channel_name,installation_date,counter,latitud,longitud
100044494-101044494,10 avenue de la Grande Armée SE-NO,100044494,avenue de la Grande Armée,101044494,SE-NO,2018-07-27,Y2H18034808,48.8748,2.2924
100044495-101044495,7 avenue de la Grande Armée NO-SE,100044495,avenue de la Grande Armée,101044495,NO-SE,2018-07-27,Y2H18034806,48.87474,2.29219
100044506-101044506,72 boulevard Voltaire NO-SE,100044506,boulevard Voltaire,101044506,NO-SE,2018-06-27,Y2H18034807,48.86155,2.37407
100047533-101047533,89 boulevard de Magenta NO-SE,100047533,boulevard de Magenta,101047533,NO-SE,2018-11-28,Y2H18086309,48.87756,2.35535
100047534-101047534,16 avenue de la Porte des Ternes E-O,100047534,avenue de la Porte des Ternes,101047534,E-O,2018-11-29,Y2H20032437,48.88156,2.28122
100047535-101047535,Pont du Garigliano NO-SE,100047535,Pont du Garigliano,101047535,NO-SE,2018-11-28,Y2H18086311,48.83994,2.26692
100047536-101047536,102 boulevard de Magenta SE-NO,100047536,boulevard de Magenta,101047536,SE-NO,2018-11-29,Y2H18086312,48.87769,2.35475
100047537-101047537,26 boulevard de Ménilmontant SE-NO,100047537,boulevard de Ménilmontant,101047537,SE-NO,2018-11-30,,48.86057,2.38886
100047538-101047538,Face au 16 avenue de la  Porte des Ternes O-E,100047538,avenue de la  Porte des Ternes,101047538,O-E,2018-11-28,Y2H18086314,48.88168,2.28113
100047539-101047539,21 boulevard Auguste Blanqui SO-NE,100047539,boulevard Auguste Blanqui,101047539,SO-NE,2018-12-05,Y2H22114921,48.83074,2.35373
100047540-101047540,72 boulevard Richard Lenoir S-N,100047540,boulevard Richard Lenoir,101047540,S-N,2018-12-05,Y2H16110952,48.86077,2.37305
100047541-353326452,Pont National SO-NE,100047541,Pont National,353326452,SO-NE,2018-12-05,Y2H22053370,48.82639,2.38448
100047542-103047542,Face au 48 quai de la marne NE-SO,100047542,quai de la marne,103047542,NE-SO,2018-11-29,Y2H18086318,48.89172,2.38531
100047542-104047542,Face au 48 quai de la marne SO-NE,100047542,quai de la marne,104047542,SO-NE,2018-11-29,Y2H18086318,48.89172,2.38531
