N_CATALOGO;PROTECCION_ACTUAL;PROTECCION_97;NOMBRE;C_HOMOGENEO;OBSERVACION;EXPEDIENTE;ENLACE;COD_NDP;UTMX_ETRS;UTMY_ETRS
11124;Parcial;Parcial;---;---;---;---;---;11039231.0;440255.15;4476582.49
11125;Parcial;Parcial;---;---;---;---;---;11039237.0;440220.86;4476579.23
11126;Parcial;Parcial;---;---;---;---;---;11039238.0;440208.29;4476579.34
11127;Ambiental;Ambiental;---;---;---;---;---;20013376.0;440250.82;4476437.39
11128;Ambiental;Ambiental;---;---;---;---;---;11039272.0;440250.41;4476424.38
11129;Parcial;Parcial;---;X;---;---;---;11039271.0;440250.05;4476412.5
11130;Parcial;Parcial;---;X;---;---;---;11039276.0;440216.62;4476404.37
11131;Parcial;Parcial;---;X;---;---;---;11039277.0;440198.0;4476405.35
11132;Parcial;Parcial;---;X;---;---;---;11039278.0;440178.13;4476406.4
11134;Parcial;Parcial;---;---;---;---;---;11039322.0;440049.35;4476441.29
11135;Parcial;Parcial;---;---;---;---;---;11039316.0;440039.39;4476413.32
11136;Parcial;Parcial;---;---;---;---;---;11039317.0;440019.11;4476414.73
11138;Parcial;Parcial;---;---;---;---;---;11039319.0;439983.32;4476416.61
11139;Parcial;Parcial;---;---;---;---;---;11039320.0;439966.02;4476417.32
11141;Parcial;Parcial;---;---;---;---;---;11039323.0;439922.12;4476435.99
11142;Parcial;Parcial;---;---;---;---;---;11039324.0;439924.03;4476462.27
11143;Parcial;Parcial;---;---;---;---;---;11039325.0;439925.24;4476479.1
11144;Parcial;Parcial;---;---;---;---;---;11039326.0;439926.32;4476493.86
11148;Parcial;Parcial;---;X;---;---;---;11039236.0;439954.0;4476557.43
11149;Parcial;Parcial;---;X;---;---;---;11039239.0;439931.31;4476562.93
11150;Parcial;Parcial;---;X;---;---;---;11039240.0;439932.25;4476575.9
11151;Parcial;Parcial;---;X;---;---;---;11039241.0;439933.64;4476591.05
11153;Parcial;Parcial;---;---;---;---;---;11039243.0;439935.07;4476615.36
11154;Parcial;Parcial;---;---;---;---;---;11039244.0;439935.99;4476628.65
11155;Parcial;Parcial;---;---;---;---;---;11039245.0;439937.4;4476644.8
11156;Ambiental;Ambiental;---;---;---;---;---;11039246.0;439937.65;4476651.8
11157;Ambiental;Ambiental;---;---;---;---;---;11039247.0;439938.35;4476661.51
11158;Parcial;Parcial;---;---;---;---;---;11039417.0;439919.22;4476399.7
11159;Parcial;Parcial;---;---;---;---;---;11039398.0;439942.19;4476400.73
11160;Ambiental;Ambiental;---;---;---;---;---;11039397.0;439958.9;4476399.86
11161;Ambiental;Ambiental;---;---;---;---;---;11039396.0;439976.62;4476398.93
11162;Ambiental;Ambiental;---;---;---;---;---;11039395.0;439994.82;4476397.98
11164;Ambiental;Ambiental;---;---;---;---;---;11039403.0;440044.78;4476383.37
11165;Parcial;Parcial;---;---;---;---;---;11039402.0;440043.16;4476361.01
11166;Parcial;Parcial;---;---;---;---;---;11039401.0;440041.9;4476343.58
11167;Parcial;Parcial;---;---;---;---;---;11039400.0;440040.92;4476328.54
11168;Ambiental;Ambiental;---;---;---;---;---;11039399.0;440039.51;4476311.54
11169;Ambiental;Ambiental;---;---;---;---;---;11039404.0;440033.29;4476291.5
11170;Parcial;Parcial;---;---;---;---;---;11039405.0;440014.52;4476293.0
11171;Parcial;Parcial;---;---;---;---;---;11039406.0;439998.57;4476294.22
11172;Parcial;Parcial;---;---;---;---;---;11039407.0;439982.99;4476295.42
11174;Parcial;Parcial;---;---;---;---;---;11039409.0;439951.78;4476297.71
11175;Parcial;Parcial;---;---;---;---;---;11039410.0;439933.63;4476299.1
11176;Parcial;Parcial;---;---;---;---;---;11039411.0;439919.55;4476300.18
11177;Parcial;Parcial;---;---;---;---;---;11039412.0;439913.87;4476322.14
11178;Parcial;Parcial;---;---;---;---;---;11039413.0;439914.94;4476336.83
11179;Parcial;Parcial;---;---;---;---;---;11039414.0;439916.04;4476352.05
11180;Parcial;Parcial;---;---;---;---;---;11039415.0;439917.41;4476371.01
11181;Parcial;Parcial;---;---;---;---;---;11039416.0;439918.38;4476387.65
11182;Parcial;Parcial;---;---;---;---;---;11039418.0;440128.47;4476390.97
11183;Parcial;Parcial;---;---;---;---;---;11039419.0;440081.53;4476393.42
11187;Parcial;Parcial;---;---;---;---;---;11039427.0;440139.21;4476292.59
11189;Parcial;Parcial;---;---;---;---;---;11039424.0;440089.74;4476287.6
11190;Parcial;Parcial;---;---;---;---;---;11039425.0;440075.7;4476288.73
11191;Parcial;Parcial;---;---;---;---;---;11039426.0;440067.58;4476289.07
11192;Parcial;Parcial;---;---;---;---;---;11039420.0;440058.35;4476317.81
11194;Parcial;Parcial;---;---;---;---;---;11039422.0;440060.86;4476356.35
11196;Ambiental;Ambiental;---;---;---;---;---;11039450.0;440164.0;4476382.53
11197;Parcial;Parcial;---;---;---;---;---;11039440.0;440185.93;4476387.96
11198;Parcial;Parcial;---;---;---;---;---;11039439.0;440203.38;4476387.04
11199;Ambiental;Ambiental;---;---;---;---;---;11039437.0;440248.67;4476376.5
11201;Parcial;Parcial;---;---;---;---;---;11039435.0;440247.54;4476333.89
11204;Parcial;Parcial;---;---;---;---;---;11039441.0;440232.41;4476277.23
11205;Ambiental;Ambiental;---;---;---;---;---;11039442.0;440220.13;4476278.16
11206;Parcial;Parcial;---;---;---;---;---;11039443.0;440210.71;4476278.87
11207;Parcial;Parcial;---;---;---;---;---;11039444.0;440195.44;4476280.03
11209;Ambiental;Ambiental;---;---;---;---;---;11039446.0;440167.91;4476282.08
11211;Ambiental;Ambiental;---;---;---;---;---;11039447.0;440158.26;4476306.05
11212;Parcial;Parcial;---;---;---;---;---;11039433.0;440247.06;4476315.83
11214;Parcial;Parcial;---;---;---;---;---;11039509.0;439910.43;4476274.68
11215;Parcial;Parcial;---;---;---;---;---;11039504.0;439934.73;4476280.83
11216;Parcial;Parcial;---;---;---;---;---;11039503.0;439958.53;4476279.12
11217;Parcial;Parcial;---;---;---;---;---;11039502.0;439978.56;4476277.68
11218;Parcial;Parcial;---;---;---;---;---;11039501.0;439997.08;4476276.34
11219;Parcial;Parcial;---;---;---;---;---;11039500.0;440013.04;4476275.18
11220;Parcial;Parcial;---;---;---;---;---;11039499.0;440029.68;4476273.98
11221;Parcial;Parcial;---;---;---;---;---;11039498.0;440035.03;4476248.7
11222;Parcial;Parcial;---;---;---;---;---;11039497.0;440034.16;4476235.78
11223;Ambiental;Remitido;Edificio de oficinas;---;---;713/2004/02024;---;11039488.0;439984.59;4476229.79
11224;Ambiental;Remitido;Taller de curtidos;---;---;713/2004/02024;---;20013486.0;439936.73;4476236.54
11226;Ambiental;Ambiental;---;---;---;---;---;11039507.0;439906.55;4476220.92
11227;Ambiental;Remitido;Vivienda Unifamiliar;---;"
Sustitución total del edifico según Licencia Exp. 711/2015/16839. Dictamen favoirable CPPHAN de 08.04.2016 (Acta 12/2016)";713/2004/02024;---;11039492.0;439959.91;4476224.33
11228;Demolición total;Remitido;A.E.L.P.;---;"Catalogado en Grado Ambiental por MPG Exp. 713/2004/02024 (AD 31.01.2007)
Sustitución total del edifico según Licencia Exp. 711/2015/16839. Dictamen favoirable CPPHAN de 08.04.2016 (Acta 12/2016)";711/2015/16839;---;11039491.0;439968.85;4476223.02
11229;Parcial;Parcial;---;---;---;---;---;11039510.0;439975.4;4476184.19
11230;Parcial;Parcial;Mercado de Vallehermoso.;---;---;---;---;20013506.0;439916.91;4476172.19
11231;Ambiental;Remitido;Edif. industrial;---;---;713/2004/02024;---;11039490.0;439998.25;4476218.76
11232;Ambiental;Ambiental;---;---;---;---;---;11039496.0;440031.52;4476200.09
11233;Ambiental;Ambiental;---;---;---;---;---;11039495.0;440030.4;4476184.79
11234;Ambiental;Ambiental;---;---;---;---;---;11039505.0;440014.73;4476162.88
11235;Ambiental;Ambiental;---;---;---;---;---;11039511.0;439986.12;4476181.87
11240;Parcial;Parcial;---;---;---;---;---;11039475.0;440116.35;4476267.69
11241;Parcial;Parcial;---;---;---;---;---;11039486.0;440137.41;4476259.33
11243;Parcial;Parcial;---;---;---;---;---;11039484.0;440136.01;4476214.85
11244;Parcial;Parcial;---;---;---;---;---;11039483.0;440137.82;4476197.57
11245;Parcial;Parcial;---;---;---;---;---;11039482.0;440140.65;4476170.07
11246;Parcial;Parcial;---;---;---;---;---;11039480.0;440101.44;4476154.64
11247;Parcial;Parcial;---;---;---;---;---;11039481.0;440065.51;4476158.4
11248;Parcial;Parcial;---;---;---;---;---;11039472.0;440050.2;4476205.71
11249;Parcial;Parcial;---;---;---;---;---;11039473.0;440051.77;4476228.54
11250;Parcial;Parcial;---;---;---;---;---;11039474.0;440052.96;4476244.84
11251;Ambiental;Ambiental;---;---;---;---;---;11039458.0;440165.02;4476264.05
11252;Ambiental;Ambiental;---;---;---;---;---;11039457.0;440188.12;4476262.39
11253;Ambiental;Ambiental;---;---;---;---;---;11039456.0;440210.96;4476260.73
11254;Parcial;Parcial;---;---;---;---;---;11039455.0;440245.0;4476254.52
11255;Parcial;Parcial;---;---;---;---;---;11039454.0;440244.64;4476237.1
11257;Ambiental;Ambiental;Palestra;---;---;---;---;11039452.0;440243.55;4476205.47
11258;Parcial;Parcial;---;---;---;---;---;11039451.0;440243.06;4476190.15
11259;Parcial;Parcial;---;---;---;---;---;11039471.0;440238.42;4476164.24
11260;Parcial;Parcial;---;---;---;---;---;11039470.0;440217.55;4476145.86
11265;Parcial;Parcial;---;---;---;---;---;11039460.0;440162.64;4476133.62
11267;Ambiental;Ambiental;---;---;---;---;---;11039462.0;440160.01;4476158.95
11268;Demolición total;Ambiental;---;---;"Resolución de licencia de demolición y sustitución de fecha 20.10.2003
Dictamen CPPHAN 01/07/2003";714/2003/01108;---;11039463.0;440158.75;4476171.49
11269;Parcial;Parcial;---;---;---;---;---;11039464.0;440156.64;4476190.95
11273;Parcial;Parcial;---;X;---;---;---;11039609.0;439904.92;4476154.4
11274;Parcial;Parcial;---;X;---;---;---;11039604.0;439940.52;4476151.56
11275;Parcial;Parcial;---;X;---;---;---;11039603.0;439963.2;4476149.52
11276;Parcial;Parcial;---;X;---;---;---;11039602.0;439989.36;4476147.21
11277;Parcial;Parcial;---;X;---;---;---;11039601.0;440018.24;4476145.0
11278;Parcial;Parcial;---;X;---;---;---;11039600.0;440035.61;4476140.0
11279;Parcial;Parcial;---;X;---;---;---;11039599.0;440057.19;4476141.5
11282;Parcial;Parcial;---;X;---;---;---;11039598.0;440081.7;4476139.17
11283;Parcial;Parcial;---;X;---;---;---;11039597.0;440103.69;4476137.08
11284;Parcial;Parcial;---;X;---;---;---;11039596.0;440135.83;4476129.18
11285;Parcial;Parcial;---;X;---;---;---;11039605.0;440135.52;4476100.05
11286;Parcial;Parcial;---;X;---;---;---;11039594.0;440115.38;4476082.88
11288;Parcial;Parcial;---;X;---;---;---;11039610.0;439935.12;4476072.65
11289;Parcial;Parcial;---;X;---;---;---;11039606.0;439896.15;4476071.73
11290;Parcial;Parcial;---;X;---;---;---;11039607.0;439897.98;4476097.08
11291;Parcial;Parcial;---;X;---;---;---;11039608.0;439899.9;4476124.1
11292;Parcial;Parcial;---;X;---;---;---;11039610.0;439935.12;4476072.65
11293;Parcial;Parcial;---;X;---;---;---;11039651.0;439892.38;4476021.43
11294;Parcial;Parcial;---;X;---;---;---;11039638.0;439975.68;4476016.28
11295;Parcial;Parcial;---;X;---;---;---;11039645.0;439918.93;4475909.25
11296;Parcial;Parcial;---;X;---;---;---;11039647.0;439886.6;4475912.71
11297;Parcial;Parcial;---;X;---;---;---;11039648.0;439886.51;4475939.99
11298;Parcial;Parcial;---;X;---;---;---;11039649.0;439888.11;4475962.38
11299;Parcial;Parcial;---;X;---;---;---;11039650.0;439889.61;4475983.07
11300;Parcial;Parcial;---;X;---;---;---;11039639.0;439928.22;4476025.3
11301;Parcial;Parcial;---;X;---;---;---;11039652.0;439929.85;4475998.76
11310;Parcial;Parcial;---;X;---;---;---;11039629.0;440059.28;4475905.92
11311;Parcial;Parcial;---;X;---;---;---;11039619.0;440044.33;4475952.92
11312;Parcial;Parcial;---;X;---;---;---;11039618.0;440065.52;4476001.91
11314;Ambiental;Ambiental;---;---;---;---;---;11039616.0;440184.03;4476082.8
11317;Demolición total;Ambiental;---;---;Licencia sustitución edificio. Resolución D Gral control Edificación de 29 11 2011 y Dictamen favorable Comisión Patrimonio de 06.05 2011;711/2010/27796;---;20013568.0;440217.08;4476092.99
11319;Parcial;Parcial;---;---;---;---;---;11039636.0;440221.8;4476053.61
11320;Parcial;Parcial;---;---;---;---;---;11039635.0;440219.03;4476043.99
11321;Ambiental;Ambiental;---;---;---;---;---;11039634.0;440214.96;4476029.93
11322;Parcial;Parcial;---;---;---;---;---;11039633.0;440211.91;4476018.99
11323;Parcial;Parcial;---;---;---;---;---;11039632.0;440208.25;4476006.1
11325;Parcial;Parcial;---;---;---;---;---;11039620.0;440187.13;4476022.32
11326;Ambiental;Ambiental;---;---;---;---;---;11039621.0;440179.2;4476053.08
11330;Parcial;Parcial;---;X;---;---;---;11039749.0;439968.09;4475886.94
11331;Parcial;Parcial;---;X;---;---;---;11039732.0;439973.24;4475861.33
11336;Parcial;Parcial;---;---;---;---;---;11039720.0;439960.96;4475718.67
11337;Parcial;Parcial;---;---;---;---;---;11039721.0;439946.08;4475720.65
11338;Parcial;Parcial;---;---;---;---;---;11039722.0;439929.11;4475723.08
11345;Singular;Singular;I.P. Ntra Sra Dolores;---;---;---;---;11039785.0;440158.66;4475832.23
11345;Singular;Singular;I.P. Ntra Sra Dolores;---;---;---;---;11039787.0;440048.13;4475872.57
11349;Parcial;Parcial;---;---;---;---;---;11039783.0;440134.32;4475746.42
11351;Parcial;Parcial;---;---;---;---;---;11039782.0;440119.2;4475729.24
11352;Parcial;Parcial;---;---;---;---;---;11039781.0;440093.37;4475712.65
11354;Ambiental;Ambiental;---;---;---;---;---;11039769.0;440052.04;4475707.05
11355;Parcial;Parcial;---;---;---;---;---;11039770.0;440040.71;4475708.49
11357;Parcial;Parcial;---;X;---;---;---;11039773.0;440036.76;4475759.26
11358;Parcial;Parcial;---;X;---;---;---;11039774.0;440038.83;4475778.21
11359;Parcial;Parcial;---;X;---;---;---;11039775.0;440040.46;4475798.55
11360;Parcial;Parcial;---;X;---;---;---;11039776.0;440042.59;4475819.13
11361;Ambiental;Ambiental;---;---;---;---;---;11039777.0;440044.24;4475834.33
11362;Ambiental;Ambiental;---;---;---;---;---;11039778.0;440045.26;4475844.86
11366;Parcial;Parcial;---;---;---;---;---;11040322.0;440371.01;4476526.43
11367;Parcial;Parcial;---;---;---;---;---;11040312.0;440383.39;4476543.18
11368;Parcial;Parcial;---;---;---;---;---;11040286.0;440349.6;4476517.55
11370;Parcial;Parcial;---;---;---;---;---;11040276.0;440287.17;4476540.63
11371;Parcial;Parcial;---;---;---;---;---;11040282.0;440300.92;4476524.02
11376;Estructural;Estructural;Colegio Rufino Blanco;---;---;---;---;11040334.0;440530.12;4476626.28
11379;Parcial;Parcial;---;---;---;---;---;11040330.0;440526.67;4476542.72
11380;Parcial;Parcial;---;---;---;---;---;11040328.0;440525.78;4476522.47
11381;Parcial;Parcial;---;---;---;---;---;11040298.0;440515.07;4476495.94
11386;Parcial;Parcial;Edificio de viviendas.;---;---;---;---;11040290.0;440460.44;4476503.42
11387;Parcial;Parcial;---;---;---;---;---;11040288.0;440443.3;4476505.67
11388;Parcial;Parcial;---;---;---;---;---;11040324.0;440425.46;4476525.07
11389;Parcial;Parcial;---;---;---;---;---;11040300.0;440416.37;4476543.94
11390;Parcial;Parcial;Edif. oficinas-Industrial;---;---;---;---;11040302.0;440417.21;4476556.01
11391;Parcial;Parcial;---;---;---;---;---;11040304.0;440417.99;4476567.2
11392;Parcial;Parcial;---;---;---;---;---;11040306.0;440418.95;4476580.95
11393;Parcial;Parcial;---;---;---;---;---;11040308.0;440419.83;4476593.6
11397;Parcial;Parcial;---;---;---;---;---;11040359.0;440612.91;4476596.69
11399;Parcial;Parcial;---;---;---;---;---;11040357.0;440624.64;4476558.88
11400;Parcial;Parcial;---;---;---;---;---;11040356.0;440630.19;4476541.66
11401;Parcial;Parcial;---;---;---;---;---;11040355.0;440637.12;4476521.16
11402;Parcial;Parcial;---;---;---;---;---;11040354.0;440642.34;4476503.97
11403;Ambiental;Ambiental;---;---;---;---;---;11040353.0;440647.58;4476487.72
11413;Parcial;Parcial;---;---;---;---;---;11040240.0;440285.69;4476499.58
11414;Parcial;Parcial;---;---;---;---;---;11040242.0;440316.16;4476504.06
11415;Parcial;Parcial;---;---;---;---;---;11040244.0;440336.57;4476501.4
11418;Ambiental;Ambiental;---;---;---;---;---;11040256.0;440378.1;4476466.82
11419;Parcial;Parcial;---;---;---;---;---;11040252.0;440384.61;4476446.91
11421;Parcial;Parcial;---;---;---;---;---;11040250.0;440389.22;4476432.66
11422;Ambiental;Ambiental;---;---;---;---;---;11040248.0;440397.11;4476408.53
11423;Ambiental;Ambiental;---;---;---;---;---;11040272.0;440384.0;4476393.3
11424;Parcial;Parcial;---;---;---;---;---;11040270.0;440368.9;4476394.35
11425;Ambiental;Ambiental;---;---;---;---;---;11040268.0;440353.55;4476395.42
11427;Parcial;Parcial;---;---;---;---;---;11040264.0;440334.73;4476396.74
11428;Parcial;Parcial;---;---;---;---;---;11040262.0;440319.42;4476397.78
11429;Parcial;Parcial;---;---;---;---;---;11040260.0;440298.83;4476399.17
11430;Parcial;Parcial;---;---;---;---;---;11040232.0;440283.31;4476421.65
11431;Parcial;Parcial;---;---;---;---;---;11040234.0;440283.8;4476436.28
11436;Ambiental;Ambiental;---;---;---;---;---;11040196.0;440354.37;4476316.41
11437;Ambiental;Ambiental;---;---;---;---;---;11040194.0;440358.8;4476296.49
11438;Parcial;Parcial;---;---;---;---;---;11040204.0;440353.58;4476268.78
11439;Parcial;Parcial;---;---;---;---;---;11040202.0;440321.91;4476271.05
11443;Ambiental;Ambiental;---;---;---;---;---;11040191.0;440360.59;4476375.63
11444;Parcial;Parcial;---;---;---;---;---;11040227.0;440378.6;4476375.49
11445;Parcial;Parcial;---;---;---;---;---;11040228.0;440391.02;4476374.66
11446;Estructural;Estructural;---;---;---;---;---;11040223.0;440411.59;4476364.66
11447;Parcial;Parcial;---;---;---;---;---;11040222.0;440416.52;4476349.59
11448;Parcial;Parcial;---;---;---;---;---;11040221.0;440421.17;4476335.44
11449;Parcial;Parcial;---;---;---;---;---;11040220.0;440426.88;4476318.06
11450;Parcial;Parcial;---;---;---;---;---;11040218.0;440430.55;4476306.83
11451;Parcial;Parcial;---;---;---;---;---;11040216.0;440438.42;4476283.48
11452;Parcial;Parcial;---;---;---;---;---;11040214.0;440442.25;4476271.02
11453;Parcial;Parcial;---;---;---;---;---;11040208.0;440408.16;4476265.02
11454;Ambiental;Ambiental;---;---;---;---;---;11040183.0;440382.66;4476273.37
11456;Parcial;Parcial;---;---;---;---;---;11040185.0;440375.8;4476303.4
11457;Parcial;Parcial;---;---;---;---;---;11040186.0;440373.09;4476315.29
11458;Parcial;Parcial;---;---;---;---;---;11040187.0;440370.64;4476326.02
11459;Parcial;Parcial;---;---;---;---;---;11040188.0;440368.13;4476337.04
11462;Parcial;Parcial;---;---;---;---;---;11040210.0;440422.95;4476263.93
11463;Parcial;Parcial;---;---;---;---;---;11040151.0;440278.4;4476251.35
11464;Parcial;Parcial;---;---;---;---;---;11040162.0;440302.34;4476254.48
11465;Parcial;Parcial;---;---;---;---;---;11040175.0;440278.26;4476235.48
11466;Parcial;Parcial;---;---;---;---;---;11040163.0;440318.77;4476253.24
11467;Parcial;Parcial;---;---;---;---;---;11040164.0;440330.71;4476252.35
11468;Parcial;Parcial;---;---;---;---;---;11040165.0;440342.64;4476251.51
11469;Estructural;Estructural;---;---;---;---;---;11040166.0;440359.16;4476250.31
11470;Parcial;Parcial;---;---;---;---;---;11040156.0;440374.59;4476229.93
11473;Singular;Singular;Residencia;---;---;---;---;20013860.0;440386.27;4476176.85
11474;Ambiental;Ambiental;Edif. oficinas;---;---;---;---;11040174.0;440290.24;4476154.19
11475;Ambiental;Ambiental;---;---;---;---;---;11040173.0;440279.62;4476162.22
11479;Ambiental;Ambiental;---;---;---;---;---;11040459.0;440448.49;4476358.33
11480;Integral;Integral;---;---;---;---;---;11040467.0;440473.49;4476369.09
11481;Estructural;Estructural;---;---;---;---;---;11040468.0;440496.47;4476367.76
11482;Parcial;Parcial;---;---;---;---;---;11040469.0;440518.83;4476366.33
11483;Parcial;Parcial;---;---;---;---;---;11040470.0;440540.31;4476365.11
11484;Parcial;Parcial;---;---;---;---;---;11040466.0;440563.07;4476359.36
11485;Parcial;Parcial;---;---;---;---;---;11040465.0;440567.65;4476343.25
11491;Parcial;Parcial;---;---;---;---;---;11040447.0;440570.47;4476233.76
11493;Parcial;Parcial;---;---;---;---;---;11040445.0;440541.6;4476224.1
11496;Parcial;Parcial;---;---;---;---;---;11040443.0;440505.95;4476213.04
11497;Parcial;Parcial;---;---;---;---;---;11040449.0;440490.47;4476230.4
11498;Parcial;Parcial;---;---;---;---;---;11040450.0;440486.36;4476242.85
11499;Parcial;Parcial;---;---;---;---;---;11040451.0;440482.18;4476255.54
11500;Parcial;Parcial;---;---;---;---;---;11040452.0;440478.64;4476266.29
11501;Ambiental;Ambiental;---;---;---;---;---;11040453.0;440474.47;4476278.94
11502;Parcial;Parcial;---;---;---;---;---;20146720.0;440470.02;4476292.46
11503;Parcial;Parcial;---;---;---;---;---;11040456.0;440464.89;4476308.05
11504;Parcial;Parcial;---;---;---;---;---;11040457.0;440460.72;4476320.75
11514;Parcial;Parcial;---;---;---;---;---;11040398.0;440691.81;4476348.54
11515;Ambiental;Ambiental;---;---;---;---;---;11040397.0;440695.31;4476337.57
11516;Parcial;Parcial;---;---;---;---;---;11040396.0;440697.13;4476332.02
11517;Parcial;Parcial;Edificio de viviendas.;---;---;---;---;11040396.0;440697.13;4476332.02
11518;Ambiental;Ambiental;---;---;---;---;---;11040394.0;440703.15;4476312.88
11520;Estructural;Estructural;Sta. Teresa y Sta. Isabel;---;---;---;---;11040380.0;440653.13;4476304.29
11521;Parcial;Parcial;Edificio de viviendas;---;---;---;---;20013894.0;440642.72;4476255.93
11522;Parcial;Parcial;---;---;---;---;---;11040399.0;440610.65;4476257.86
11529;Parcial;Parcial;---;---;---;---;---;11040402.0;440589.67;4476331.52
11534;Parcial;Parcial;---;---;---;---;---;11040119.0;440404.45;4476093.51
11537;Parcial;Parcial;---;---;---;---;---;11040136.0;440361.83;4476045.11
11538;Parcial;Parcial;---;---;---;---;---;11040135.0;440354.23;4476042.74
11540;Estructural;Estructural;---;---;---;---;---;11040133.0;440328.33;4476034.47
11541;Parcial;Parcial;---;---;---;---;---;11040132.0;440315.81;4476030.58
11542;Parcial;Parcial;---;---;---;---;---;11040128.0;440300.96;4476040.9
11543;Parcial;Parcial;---;---;---;---;---;11040129.0;440298.65;4476048.3
11559;Parcial;Parcial;---;---;---;---;---;11040076.0;440310.32;4476011.99
11560;Parcial;Parcial;---;---;---;---;---;11040097.0;440329.48;4476022.48
11561;Parcial;Parcial;---;---;---;---;---;11040098.0;440340.1;4476025.83
11564;Parcial;Parcial;---;---;---;---;---;11040070.0;440416.55;4476031.37
11565;Parcial;Parcial;---;---;---;---;---;11040069.0;440419.08;4476017.97
11567;Parcial;Parcial;---;---;---;---;---;11040093.0;440396.59;4475992.05
11568;Ambiental;Ambiental;---;---;---;---;---;11040092.0;440384.17;4475987.99
11569;Parcial;Parcial;---;---;---;---;---;11040091.0;440372.03;4475984.03
11570;Parcial;Parcial;---;---;---;---;---;11040090.0;440361.83;4475980.69
11571;Parcial;Parcial;---;---;---;---;---;11040089.0;440351.77;4475977.4
11572;Parcial;Parcial;---;---;---;---;---;11040073.0;440322.8;4475973.6
11573;Parcial;Parcial;---;---;---;---;---;11040074.0;440318.24;4475987.52
11574;Parcial;Parcial;---;---;---;---;---;11040075.0;440314.44;4475999.28
11575;Parcial;Parcial;---;---;---;---;---;11039961.0;440315.37;4475890.01
11576;Parcial;Parcial;---;---;---;---;---;11039971.0;440288.15;4475881.11
11579;Parcial;Parcial;---;---;---;---;---;11040078.0;440358.34;4475959.09
11583;Parcial;Parcial;METRO Subestación carga;---;---;---;---;20013820.0;440414.25;4475928.36
11584;Parcial;Parcial;---;---;---;---;---;11040083.0;440419.76;4475979.17
11586;Estructural;Estructural;---;---;---;---;---;11040107.0;440397.77;4475923.07
11587;Parcial;Parcial;---;---;---;---;---;11040106.0;440386.6;4475919.13
11588;Parcial;Parcial;---;---;---;---;---;11040105.0;440371.62;4475914.4
11589;Estructural;Estructural;---;---;---;---;---;11040071.0;440340.5;4475919.15
11591;Parcial;Parcial;Cine Proyecciones.;---;---;---;---;11040000.0;440350.72;4475887.73
11592;Ambiental;Ambiental;---;---;---;---;---;11040001.0;440409.05;4475914.13
11593;Parcial;Parcial;---;---;---;---;---;11040002.0;440421.3;4475918.11
11594;Parcial;Parcial;---;---;---;---;---;11039998.0;440438.31;4475915.89
11596;Ambiental;Ambiental;---;---;---;---;---;11039996.0;440442.0;4475894.88
11597;Parcial;Parcial;---;---;---;---;---;11039995.0;440443.14;4475891.67
11600;Parcial;Parcial;---;---;---;---;---;11039986.0;440440.57;4475853.34
11601;Ambiental;Ambiental;---;---;---;---;---;11039985.0;440431.93;4475854.02
11602;Parcial;Parcial;---;---;---;---;---;11039984.0;440421.83;4475855.06
11604;Estructural;Estructural;---;---;---;---;---;11039982.0;440403.44;4475856.98
11605;Estructural;Estructural;---;---;---;---;---;11039981.0;440393.93;4475857.91
11606;Parcial;Parcial;---;---;---;---;---;11039999.0;440354.72;4475874.85
11607;Ambiental;Ambiental;---;---;---;---;---;11039958.0;440201.74;4475863.53
11610;Parcial;Parcial;---;---;---;---;---;11039949.0;440245.76;4475836.51
11611;Parcial;Parcial;---;---;---;---;---;11039948.0;440243.24;4475821.17
11612;Parcial;Parcial;---;---;---;---;---;11039947.0;440241.2;4475808.75
11613;Parcial;Parcial;---;---;---;---;---;11039946.0;440239.22;4475794.19
11614;Parcial;Parcial;---;---;---;---;---;11039945.0;440236.8;4475782.73
11615;Parcial;Parcial;---;---;---;---;---;11039944.0;440235.38;4475773.26
11616;Parcial;Parcial;---;---;---;---;---;11039943.0;440232.89;4475758.1
11617;Parcial;Parcial;---;---;---;---;---;11039959.0;440208.89;4475752.35
11619;Parcial;Parcial;---;---;---;---;---;11039950.0;440173.65;4475766.55
11620;Parcial;Parcial;---;---;---;---;---;11039951.0;440178.23;4475781.5
11621;Parcial;Parcial;---;---;---;---;---;11039952.0;440179.35;4475785.89
11622;Parcial;Parcial;---;---;---;---;---;11039953.0;440182.15;4475795.39
11623;Parcial;Parcial;---;---;---;---;---;11039954.0;440184.3;4475803.0
11624;Parcial;Parcial;---;---;---;---;---;11039955.0;440188.08;4475815.48
11626;Integral;Integral;---;---;---;---;---;11039957.0;440195.77;4475842.09
11627;Parcial;Parcial;---;---;---;---;---;11039929.0;440271.76;4475864.75
11628;Parcial;Parcial;---;---;---;---;---;11039928.0;440281.61;4475863.68
11630;Parcial;Parcial;---;---;---;---;---;11039926.0;440324.89;4475859.0
11631;Parcial;Parcial;---;---;---;---;---;11039925.0;440330.03;4475843.94
11632;Parcial;Parcial;Edificio de Oficinas.;---;---;---;---;11039924.0;440338.29;4475818.58
11637;Parcial;Parcial;---;---;---;---;---;11039936.0;440337.58;4475734.07
11638;Parcial;Parcial;---;---;---;---;---;11039937.0;440321.7;4475729.0
11639;Parcial;Parcial;---;---;---;---;---;11039938.0;440303.34;4475729.01
11640;Parcial;Parcial;---;---;---;---;---;11039939.0;440292.09;4475731.16
